example_id                                          | status | run_time        |
--------------------------------------------------- | ------ | --------------- |
./spec/binding/plugins/ocr_backend_spec.rb[1:1:1]   | failed | 0.00173 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:1:2]   | failed | 0.0018 seconds  |
./spec/binding/plugins/ocr_backend_spec.rb[1:2:1]   | failed | 0.00192 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:2:2]   | failed | 0.00581 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:3:1]   | failed | 0.00184 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:4:1]   | passed | 0.00088 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:4:2]   | passed | 0.00045 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:5:1]   | passed | 0.00007 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:5:2]   | passed | 0.00052 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:6:1:1] | passed | 0.00012 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:6:1:2] | passed | 0.00079 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:6:2:1] | passed | 0.00004 seconds |
./spec/binding/plugins/ocr_backend_spec.rb[1:6:2:2] | passed | 0.00029 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:1:1] | failed | 0.00139 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:1:2] | failed | 0.00153 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:1:3] | failed | 0.0014 seconds  |
./spec/binding/plugins/postprocessor_spec.rb[1:2:1] | failed | 0.00182 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:2:2] | failed | 0.00209 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:3:1] | failed | 0.00165 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:4:1] | failed | 0.00142 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:4:2] | failed | 0.00148 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:5:1] | failed | 0.00148 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:6:1] | passed | 0.0001 seconds  |
./spec/binding/plugins/postprocessor_spec.rb[1:6:2] | passed | 0.00011 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:7:1] | passed | 0.00003 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:7:2] | passed | 0.00002 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:7:3] | passed | 0.00003 seconds |
./spec/binding/plugins/postprocessor_spec.rb[1:7:4] | passed | 0.00006 seconds |
./spec/binding/plugins/validator_spec.rb[1:1:1]     | failed | 0.00154 seconds |
./spec/binding/plugins/validator_spec.rb[1:1:2]     | failed | 0.00171 seconds |
./spec/binding/plugins/validator_spec.rb[1:1:3]     | passed | 0.00099 seconds |
./spec/binding/plugins/validator_spec.rb[1:2:1]     | failed | 0.00186 seconds |
./spec/binding/plugins/validator_spec.rb[1:2:2]     | failed | 0.0016 seconds  |
./spec/binding/plugins/validator_spec.rb[1:3:1]     | failed | 0.00182 seconds |
./spec/binding/plugins/validator_spec.rb[1:3:2]     | failed | 0.0128 seconds  |
./spec/binding/plugins/validator_spec.rb[1:4:1]     | failed | 0.00156 seconds |
./spec/binding/plugins/validator_spec.rb[1:4:2]     | passed | 0.0001 seconds  |
./spec/binding/plugins/validator_spec.rb[1:5:1]     | failed | 0.00445 seconds |
./spec/binding/plugins/validator_spec.rb[1:5:2]     | failed | 0.00198 seconds |
./spec/binding/plugins/validator_spec.rb[1:6:1]     | failed | 0.00179 seconds |
./spec/binding/plugins/validator_spec.rb[1:7:1]     | passed | 0.00068 seconds |
./spec/binding/plugins/validator_spec.rb[1:7:2]     | passed | 0.00088 seconds |
./spec/binding/plugins/validator_spec.rb[1:7:3]     | passed | 0.00045 seconds |
./spec/binding/plugins/validator_spec.rb[1:7:4]     | passed | 0.00004 seconds |
